Ticket number,Gender,Nationality
2404430,Male,Norwegian
2404429,Male,"Kazakhstani, Kazakh"
2404427,Male,"British, UK"
2004507,Male,Finnish
2302059,Male,Finnish
2404426,Male,Finnish
2404425,Male,"British, UK"
2304343,Male,Norwegian
2404424,Male,Norwegian
2404423,Female,Australian
2302393,Male,Ukrainian
2404422,Male,Ukrainian
2001212,Male,Japanese
2301545,Male,Japanese
2404421,Male,Japanese
2303383,Male,French
2404420,Male,French
2302512,Male,"British, UK"
2404419,Male,"British, UK"
2404418,Male,Norwegian
2404417,Male,South African
2100190,Male,Norwegian
2302419,Male,Norwegian
2404416,Male,Norwegian
2404415,Female,Norwegian
1901964,Male,Swedish
1800813,Male,Swedish
1700451,Male,Swedish
1600245,Male,Swedish
2001757,Male,Swedish
2300007,Male,Swedish
2404414,Male,Swedish
2404413,Female,Norwegian
2404412,Male,"British, UK"
2404411,Male,Norwegian
2302781,Male,Finnish
2405196,Male,Finnish
2300685,Male,Norwegian
2404410,Male,Norwegian
2404409,Male,Italian
2404408,Male,"Kazakhstani, Kazakh"
1902842,Male,French
2004495,Male,French
2301046,Male,French
2404407,Male,French
1901365,Male,French
1800534,Male,French
1700301,Male,French
1600160,Male,French
2001754,Male,French
2300838,Male,French
2404406,Male,French
2001978,Male,French
2301666,Male,French
2404405,Male,French
2404404,Male,Norwegian
2002181,Male,Norwegian
2100199,Male,Norwegian
2301706,Male,Norwegian
2404403,Male,Norwegian
2302286,Male,Lithuanian
2404402,Male,Lithuanian
2302162,Male,"British, UK"
2404401,Male,"British, UK"
2404400,Female,Norwegian
2404399,Male,Norwegian
2404398,Male,Norwegian
2404397,Male,German
2404396,Male,Belgian
2404395,Male,French
2303726,Male,Norwegian
2404394,Male,Norwegian
2404393,Male,Norwegian
2404392,Male,French
2404391,Male,Norwegian
2303828,Male,Swiss
2404390,Male,Swiss
2404389,Male,American
2404388,Male,French
2004723,Male,Swedish
2302089,Male,Swedish
2404387,Male,Swedish
2304029,Male,French
2404386,Male,French
2404385,Male,Norwegian
1900081,Male,Norwegian
2004950,Male,Norwegian
2300614,Male,Norwegian
2404384,Male,Norwegian
2404383,Male,Portuguese
2001551,Male,French
2005386,Male,French
2300056,Male,French
2404382,Male,French
2303888,Male,French
2404381,Male,French
2404380,Male,German
2304154,Male,U.S. Virgin Island
2404379,Male,U.S. Virgin Island
2404378,Female,Swedish
2302732,Male,Israeli
2404377,Male,Israeli
2404376,Male,"Kazakhstani, Kazakh"
2404375,Male,American
2404374,Male,Brazilian
2404373,Male,"Chinese, Taiwanese"
2404371,Male,American
2404370,Male,American
2304150,Male,American
2404369,Male,American
1903221,Male,Norwegian
2003326,Male,Norwegian
2300708,Male,Norwegian
2404368,Male,Norwegian
2404367,Male,American
2303288,Female,"British, UK"
2404366,Female,"British, UK"
1901681,Male,Norwegian
1800681,Male,Norwegian
1700380,Male,Norwegian
1600208,Male,Norwegian
2000837,Male,Norwegian
2100090,Male,Norwegian
2300316,Male,Norwegian
2405186,Male,Norwegian
2404365,Male,South African
2303693,Male,Irish
2404364,Male,Irish
2404363,Male,"Greek, Hellenic"
2404362,Male,French
2404361,Male,Chilean
2300024,Male,Norwegian
2404360,Male,Norwegian
2404359,Male,French
2404358,Male,Norwegian
2404357,Male,Norwegian
1902540,Male,Norwegian
1801039,Male,Norwegian
1700578,Male,Norwegian
1600314,Male,Norwegian
2003391,Male,Norwegian
2300745,Male,Norwegian
2404356,Male,Norwegian
1902463,Male,Turkish
1801009,Male,Turkish
1700563,Male,Turkish
1600305,Male,Turkish
2000115,Male,Turkish
2300115,Male,Turkish
2404355,Male,Turkish
2404354,Male,Polish
2404353,Male,"British, UK"
1900705,Male,"British, UK"
1800270,Male,"British, UK"
1700159,Male,"British, UK"
1600080,Male,"British, UK"
2003930,Male,"British, UK"
2300209,Male,"British, UK"
2404352,Male,"British, UK"
2404351,Male,"British, UK"
2404350,Male,German
2404349,Male,Brazilian
1901518,Male,"British, UK"
1800606,Male,"British, UK"
1700342,Male,"British, UK"
2001619,Male,"British, UK"
2300073,Male,"British, UK"
2404348,Male,"British, UK"
2404347,Male,Norwegian
2301807,Male,"British, UK"
2404346,Male,"British, UK"
2000580,Male,"British, UK"
2301470,Male,"British, UK"
2404345,Male,"British, UK"
2303930,Male,American
2404344,Male,American
2303550,Male,Norwegian
2404343,Male,Norwegian
2304278,Male,Norwegian
2404342,Male,Norwegian
1900014,Male,Norwegian
1800006,Male,Norwegian
1700004,Male,Norwegian
1600004,Male,Norwegian
2004878,Male,Norwegian
2301234,Male,Norwegian
2404341,Male,Norwegian
1903676,Male,Norwegian
2003168,Male,Norwegian
2300794,Male,Norwegian
2404340,Male,Norwegian
2404339,Female,Norwegian
